length : 1000
struct size : 1000
,A.ìsìxämï€,B.àÍãìämï€,C.ê‹íèàƒ
10,0,0,0
20,0,0,0
30,0,0,0
40,0,0,0
50,0,0,1
60,0,0,0
70,0,0,0
80,0,0,0
90,0,0,0
100,0,0,0
110,0,0,0
120,0,0,0
130,0,0,0
140,0,1,0
150,0,0,0
160,0,0,0
170,0,0,0
180,0,0,0
190,0,0,0
200,0,0,0
210,1,0,0
220,0,0,0
230,0,0,0
240,0,0,0
250,0,0,0
260,0,0,0
270,1,0,0
280,0,0,0
290,1,0,0
300,0,0,0
310,1,0,0
320,1,0,0
330,1,0,0
340,1,0,0
350,0,1,0
360,0,0,0
370,1,0,0
380,1,0,0
390,1,0,0
400,1,0,0
410,1,0,0
420,1,0,0
430,0,0,1
440,0,0,0
450,1,0,0
460,1,0,0
470,1,0,0
480,1,0,0
490,1,0,0
500,1,0,0
510,1,0,0
520,1,0,0
530,1,1,0
540,1,1,0
550,2,0,1
560,2,0,1
570,3,0,0
580,4,0,0
590,4,1,0
600,5,0,0
610,5,0,1
620,6,0,1
630,7,0,1
640,7,0,1
650,10,0,1
660,9,0,1
670,8,0,1
680,9,1,0
690,19,0,1
700,23,0,2
710,22,0,2
720,14,1,1
730,17,1,1
740,15,0,1
750,14,0,1
760,14,0,1
770,17,1,1
780,19,0,1
790,17,0,1
800,19,1,1
810,27,0,1
820,20,0,1
830,20,1,1
840,20,0,1
850,21,1,1
860,21,1,1
870,23,0,1
880,25,0,1
890,23,0,2
900,24,0,2
910,26,0,1
920,29,0,2
930,30,0,1
940,29,0,1
950,29,0,2
960,30,0,2
970,30,0,2
980,31,0,2
990,32,0,2
